priority,name,category,color,product_role,product_strategic_score,price,discount_pct,size_count,similar_products,redundancy_watch,recommended_action
HIGH,Biquíni Bercy Preto,Biquínis,Preto,MARKDOWN_WATCH,25.8,110.0,72.12,3,6,True,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.
HIGH,Biquíni Malawi Pérola,Biquínis,Pérola,MARKDOWN_WATCH,25.1,110.0,71.39,3,6,True,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.
HIGH,Biquíni Bercy Pérola,Biquínis,Pérola,MARKDOWN_WATCH,24.9,110.0,72.12,3,6,True,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.
HIGH,Biquíni Eaton Cobre,Biquínis,Cobre,MARKDOWN_WATCH,23.7,116.0,68.18,3,0,False,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.
HIGH,Conjunto Althea Vermelho,Conjuntos,Vermelho,MARKDOWN_WATCH,21.1,399.5,60.01,4,0,False,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.
HIGH,Biquíni Atticus Terracota,Biquínis,Terracota,MARKDOWN_WATCH,14.9,110.0,67.12,3,0,False,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.
MEDIUM,BIQUÍNI VITTO + PAREÔ | PRETO,Biquínis,Preto,PREMIUM_ANCHOR,88.8,986.1,0.0,5,0,False,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium."
MEDIUM,BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,Off White,PREMIUM_ANCHOR,86.1,1048.0,0.0,5,0,False,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium."
MEDIUM,Vestido Sartori Off-White,Vestidos,Off White,PREMIUM_ANCHOR,85.2,2389.0,0.0,6,0,False,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium."
MEDIUM,Vestido Sartori Preto,Vestidos,Preto,PREMIUM_ANCHOR,83.5,2389.0,0.0,6,0,False,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium."
MEDIUM,Vestido Sartori Vermelho,Vestidos,Vermelho,PREMIUM_ANCHOR,82.1,2389.0,0.0,6,0,False,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium."
MEDIUM,BODY CHIARA + PANTALONA SAVOYE | OFF-WHITE,Bodies,Off White,PREMIUM_ANCHOR,81.9,1822.1,0.0,9,0,False,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium."
MEDIUM,Vestido Roland Off-White,Vestidos,Off White,PREMIUM_ANCHOR,81.4,1989.0,0.0,6,3,True,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.
MEDIUM,Vestido Fontaine Off-White,Vestidos,Off White,PREMIUM_ANCHOR,81.4,1989.0,0.0,6,3,True,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.
