week,sku,product,color,size,price,units_sold,ending_stock
2025-10-20,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,16,28
2025-10-27,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,20,8
2025-11-03,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,11,0
2025-11-10,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,17,15
2025-11-17,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,16,13
2025-11-24,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,20,0
2025-12-01,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,22,0
2025-12-08,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,19,14
2025-12-15,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,15,0
2025-12-22,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,19,0
2025-12-29,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,11,0
2026-01-05,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,17,14
2026-01-12,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,13,1
2026-01-19,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,14,0
2026-01-26,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,11,0
2026-02-02,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,8,0
2026-02-09,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,12,33
2026-02-16,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,10,23
2026-02-23,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,13,10
2026-03-02,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,10,18
2026-03-09,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,11,25
2026-03-16,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,10,15
2026-03-23,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,18,0
2026-03-30,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,5,21
2026-04-06,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,7,14
2026-04-13,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,11,32
2026-04-20,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,9,23
2026-04-27,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,5,18
2026-05-04,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,6,12
2026-05-11,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,7,5
2026-05-18,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,13,0
2026-05-25,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,5,0
2026-06-01,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,3,24
2026-06-08,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,15,9
2026-06-15,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,7,2
2026-06-22,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,11,0
2026-06-29,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,8,14
2026-07-06,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,4,10
2026-07-13,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,11,26
2026-07-20,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,8,18
2026-07-27,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,9,9
2026-08-03,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,8,1
2026-08-10,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,10,0
2026-08-17,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,8,0
2026-08-24,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,14,0
2025-09-01,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,14,31
2025-09-08,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,12,19
2025-09-15,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,12,34
2025-09-22,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,21,13
2025-09-29,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,4,9
2025-10-06,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,6,3
2025-10-13,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,12,26
2025-10-20,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,7,19
2025-10-27,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,11,8
2025-11-03,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,13,20
2025-11-10,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,15,5
2025-11-17,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,12,33
2025-11-24,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,17,16
2025-12-01,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,13,26
2025-12-08,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,15,11
2025-12-15,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,10,13
2025-12-22,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,4,9
2025-12-29,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,16,0
2026-01-05,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,15,33
2026-01-12,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,19,14
2026-01-19,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,18,0
2026-01-26,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,13,0
2026-02-02,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,11,24
2026-02-09,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,14,10
2026-02-16,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,11,30
2026-02-23,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,14,16
2026-03-02,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,14,2
2026-03-09,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,12,27
2026-03-16,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,7,20
2026-03-23,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,4,16
2026-03-30,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,8,8
2026-04-06,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,8,0
2026-04-13,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,10,27
2026-04-20,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,9,18
2026-04-27,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,13,26
2026-05-04,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,7,19
2026-05-11,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,8,11
2026-05-18,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,7,33
2026-05-25,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,5,28
2026-06-01,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,12,16
2026-06-08,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,4,12
2026-06-15,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,9,3
2026-06-22,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,7,16
2026-06-29,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,9,38
2026-07-06,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,10,28
2026-07-13,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,7,21
2026-07-20,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,11,10
2026-07-27,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,9,1
2026-08-03,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,5,0
2026-08-10,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,12,14
2026-08-17,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,14,0
2026-08-24,VEST-SALVI-PRE-38,Vestido Salvi,Preto,38,1499.0,12,0
2025-09-01,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,8,41
2025-09-08,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,3,38
2025-09-15,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,34
2025-09-22,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,5,29
2025-09-29,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,5,24
2025-10-06,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,10,14
2025-10-13,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,10,25
2025-10-20,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,11,14
2025-10-27,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,8
2025-11-03,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,2
2025-11-10,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,32
2025-11-17,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,7,25
2025-11-24,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,11,14
2025-12-01,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,8,6
2025-12-08,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,0
2025-12-15,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,2,0
2025-12-22,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,5,0
2025-12-29,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,8,0
2026-01-05,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,5,19
2026-01-12,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,7,12
2026-01-19,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,9,3
2026-01-26,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,2,1
2026-02-02,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,7,0
2026-02-09,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,16
2026-02-16,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,7,9
2026-02-23,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,26
2026-03-02,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,22
2026-03-09,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,2,20
2026-03-16,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,5,15
2026-03-23,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,2,13
2026-03-30,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,7
2026-04-06,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,1
2026-04-13,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,16
2026-04-20,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,1,15
2026-04-27,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,5,10
2026-05-04,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,5,5
2026-05-11,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,20
2026-05-18,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,3,17
2026-05-25,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,11
2026-06-01,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,22
2026-06-08,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,2,20
2026-06-15,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,16
2026-06-22,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,5,11
2026-06-29,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,38
2026-07-06,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,3,35
2026-07-13,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,29
2026-07-20,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,25
2026-07-27,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,2,23
2026-08-03,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,4,19
2026-08-10,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,2,17
2026-08-17,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,3,14
2026-08-24,VEST-SALVI-PRE-40,Vestido Salvi,Preto,40,1499.0,6,8
2025-09-01,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,4,41
2025-09-08,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,35
2025-09-15,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,4,31
2025-09-22,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,7,24
2025-09-29,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,5,19
2025-10-06,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,14,5
2025-10-13,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,3,2
2025-10-20,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,5,0
2025-10-27,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,15
2025-11-03,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,10,21
2025-11-10,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,9,12
2025-11-17,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,5,7
2025-11-24,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,7,0
2025-12-01,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,7,0
2025-12-08,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,13,0
2025-12-15,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,7,24
2025-12-22,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,8,16
2025-12-29,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,5,11
2026-01-05,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,9,2
2026-01-12,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,14
2026-01-19,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,10,4
2026-01-26,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,4,0
2026-02-02,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,0
2026-02-09,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,10,16
2026-02-16,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,5,11
2026-02-23,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,5,6
2026-03-02,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,15
2026-03-09,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,5,10
2026-03-16,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,3,7
2026-03-23,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,4,18
2026-03-30,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,7,11
2026-04-06,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,4,7
2026-04-13,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,2,21
2026-04-20,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,5,16
2026-04-27,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,3,13
2026-05-04,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,2,11
2026-05-11,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,3,8
2026-05-18,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,4,4
2026-05-25,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,3,1
2026-06-01,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,8,34
2026-06-08,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,28
2026-06-15,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,22
2026-06-22,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,16
2026-06-29,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,10
2026-07-06,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,6,21
2026-07-13,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,3,18
2026-07-20,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,2,16
2026-07-27,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,3,13
2026-08-03,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,7,27
2026-08-10,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,8,19
2026-08-17,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,8,11
2026-08-24,VEST-SALVI-PRE-42,Vestido Salvi,Preto,42,1499.0,2,9
2025-09-01,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,0,19
2025-09-08,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,18
2025-09-15,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,0,18
2025-09-22,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,5,13
2025-09-29,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,3,10
2025-10-06,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,9
2025-10-13,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,37
2025-10-20,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,3,34
2025-10-27,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,32
2025-11-03,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,4,28
2025-11-10,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,4,24
2025-11-17,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,3,21
2025-11-24,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,19
2025-12-01,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,17
2025-12-08,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,3,14
2025-12-15,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,4,10
2025-12-22,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,3,7
2025-12-29,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,5,33
2026-01-05,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,32
2026-01-12,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,0,32
2026-01-19,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,3,29
2026-01-26,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,28
2026-02-02,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,26
2026-02-09,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,24
2026-02-16,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,3,21
2026-02-23,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,3,18
2026-03-02,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,17
2026-03-09,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,16
2026-03-16,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,6,10
2026-03-23,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,8
2026-03-30,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,5,29
2026-04-06,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,27
2026-04-13,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,25
2026-04-20,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,24
2026-04-27,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,0,24
2026-05-04,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,22
2026-05-11,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,2,20
2026-05-18,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,19
2026-05-25,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,18
2026-06-01,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,0,18
2026-06-08,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,0,18
2026-06-15,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,17
2026-06-22,VEST-SALVI-PRE-44,Vestido Salvi,Preto,44,1499.0,1,16
